"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 07 23:23:37 MSK 2021","Sun Feb 07 23:23:38 MSK 2021","894","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Sun Feb 07 23:23:18 MSK 2021","Sun Feb 07 23:23:18 MSK 2021","586","test","test_add_address_book_entry","","","","test_add_address_book_entry[None:firstname(@G:middlenameUk ng:lastname]]",""
"passed","Sun Feb 07 23:23:20 MSK 2021","Sun Feb 07 23:23:29 MSK 2021","9263","test","test_add_group","test_add_group[None","","","test_add_group[None:::]",""
"passed","Sun Feb 07 23:23:15 MSK 2021","Sun Feb 07 23:23:16 MSK 2021","531","test","test_add_address_book_entry","test_add_address_book_entry[None","","","test_add_address_book_entry[None:::]",""
"passed","Sun Feb 07 23:23:35 MSK 2021","Sun Feb 07 23:23:35 MSK 2021","1","test","test_contact_on_home_and_view_page","","","","test_contact_on_home_page_and_db",""
"passed","Sun Feb 07 23:23:45 MSK 2021","Sun Feb 07 23:23:48 MSK 2021","3810","test","test_edit_contact","","","","test_edit_some_contact",""
"passed","Sun Feb 07 23:23:35 MSK 2021","Sun Feb 07 23:23:36 MSK 2021","1019","test","test_contact_on_home_and_view_page","","","","test_phones_on_contact_view_page",""
"passed","Sun Feb 07 23:23:49 MSK 2021","Sun Feb 07 23:23:53 MSK 2021","4880","test","test_edit_group","","","","test_edit_some_group_name",""
"passed","Sun Feb 07 23:23:16 MSK 2021","Sun Feb 07 23:23:17 MSK 2021","1696","test","test_add_address_book_entry","","","","test_add_address_book_entry[None:Oleg:Ivan:Kolesnikov]",""
"passed","Sun Feb 07 23:23:29 MSK 2021","Sun Feb 07 23:23:34 MSK 2021","5155","test","test_add_group","","","","test_add_group[None:namewobV:headergg ,(SU?^)RY 8ps )%:footer ]",""
"passed","Sun Feb 07 23:23:36 MSK 2021","Sun Feb 07 23:23:37 MSK 2021","460","test","test_db_matches_ui","","","","test_group_list",""
"passed","Sun Feb 07 23:23:18 MSK 2021","Sun Feb 07 23:23:19 MSK 2021","1261","test","test_add_contact_in_group","","","","test_add_contact_in_group",""
"passed","Sun Feb 07 23:23:34 MSK 2021","Sun Feb 07 23:23:35 MSK 2021","1148","test","test_contact_on_home_and_view_page","","","","test_contact_on_home_page_and_edit",""
"passed","Sun Feb 07 23:23:40 MSK 2021","Sun Feb 07 23:23:45 MSK 2021","4596","test","test_del_group","","","","test_delete_some_group",""
"passed","Sun Feb 07 23:23:38 MSK 2021","Sun Feb 07 23:23:40 MSK 2021","2230","test","test_del_contact_from_group","","","","test_del_contact_from_group",""
